# OCP data for Sony LFP positive electrode, delithiation
# sto,ocp
0.956182,3.444645
0.956127,3.444645
0.956071,3.444645
0.956016,3.444645
0.955961,3.444645
0.955905,3.444645
0.955850,3.444645
0.955794,3.444645
0.955739,3.444645
0.955684,3.444645
0.955628,3.444645
0.955573,3.444645
0.955517,3.444645
0.955462,3.444645
0.955407,3.444645
0.955351,3.444645
0.955296,3.444645
0.955240,3.444645
0.955185,3.444645
0.955130,3.444645
0.955074,3.444645
0.955019,3.444645
0.954963,3.444645
0.954908,3.444645
0.954853,3.444645
0.954797,3.444645
0.954742,3.444645
0.954686,3.444645
0.954631,3.444645
0.954576,3.444645
0.954520,3.444645
0.954465,3.444645
0.954409,3.444645
0.954354,3.444645
0.954299,3.444645
0.954243,3.444645
0.954188,3.444645
0.954132,3.444645
0.954077,3.444645
0.954022,3.444645
0.953966,3.444645
0.953911,3.444645
0.953855,3.444645
0.953800,3.444645
0.953745,3.444645
0.953689,3.444645
0.953634,3.444645
0.953579,3.444645
0.953523,3.444645
0.953468,3.444645
0.953412,3.444645
0.953357,3.444645
0.953302,3.444645
0.953246,3.444645
0.953191,3.444645
0.953135,3.444645
0.953080,3.444645
0.953025,3.444645
0.952969,3.444645
0.952914,3.444645
0.952858,3.444645
0.952803,3.444645
0.952748,3.444645
0.952692,3.444645
0.952637,3.444645
0.952581,3.444645
0.952526,3.444645
0.952471,3.444645
0.952415,3.444645
0.952360,3.444455
0.952304,3.444645
0.952249,3.444645
0.952194,3.444645
0.952138,3.444645
0.952083,3.444645
0.952027,3.444645
0.951972,3.444645
0.951917,3.444645
0.951861,3.444645
0.951806,3.444645
0.951750,3.444645
0.951695,3.444645
0.951640,3.444645
0.951584,3.444645
0.951529,3.444645
0.951473,3.444645
0.951418,3.444645
0.951363,3.444455
0.951307,3.444455
0.951252,3.444645
0.951197,3.444455
0.951141,3.444455
0.951086,3.444645
0.951030,3.444455
0.950975,3.444645
0.950920,3.444645
0.950864,3.444455
0.950809,3.444645
0.950753,3.444455
0.950698,3.444455
0.950643,3.444455
0.950587,3.444455
0.950532,3.444455
0.950476,3.444455
0.950421,3.444455
0.950366,3.444455
0.950310,3.444455
